Row Labels	Sum of Hourly production [kWh]
9/17/2016	373907.339
9/18/2016	326030.235
9/19/2016	366459.39
9/20/2016	341540.672
9/21/2016	281144.612
9/22/2016	317583.054
9/23/2016	316533.869
9/24/2016	254987.716
9/25/2016	251544.266
9/26/2016	284428.488
9/27/2016	297303.563
9/28/2016	241987.923
9/29/2016	222316.247
9/30/2016	196451.888
10/1/2016	239847.876
10/2/2016	261390.963
10/3/2016	198898.836
10/4/2016	186421.623
10/5/2016	220318.367
10/6/2016	209648.315
10/7/2016	224645.023
10/8/2016	240229.215
10/9/2016	201907.216
10/10/2016	305151.992
10/11/2016	473663.133
10/12/2016	533572.526
10/13/2016	466982.493
10/14/2016	411724.457
10/15/2016	413875.794
10/16/2016	465574.598
10/17/2016	381634.353
10/18/2016	332922.572
10/19/2016	400117.694
10/20/2016	379449.797
10/21/2016	419334.223
10/22/2016	509561.119
10/23/2016	454345.883
10/24/2016	439550.137
10/25/2016	419129.973
10/26/2016	426428.348
10/27/2016	429187.878
10/28/2016	380609.291
10/29/2016	356596.623
10/30/2016	331944.068
10/31/2016	332296.66
11/1/2016	354957.9265
11/2/2016	338992.041
11/3/2016	291740.89
11/4/2016	326571.935
11/5/2016	293713.179
11/6/2016	280178.918
11/7/2016	308051.716
11/8/2016	459588.634
11/9/2016	760249.996
11/10/2016	828383.916
11/11/2016	841488.074
11/12/2016	824891.909
11/13/2016	855526.972
11/14/2016	833848.075
11/15/2016	820259.8
11/16/2016	738781.767
11/17/2016	656400.954
11/18/2016	618267.954
11/19/2016	617828.229
11/20/2016	594471.71
11/21/2016	563544.833
11/22/2016	499111.415
11/23/2016	463403.752
11/24/2016	453322.426
11/25/2016	476441.482
11/26/2016	466391.859
11/27/2016	456771.809
11/28/2016	423010.551
11/29/2016	422488.995
11/30/2016	398475.022
12/1/2016	399111.316
12/2/2016	427402.982
12/3/2016	416961.284
12/4/2016	356609.739
12/5/2016	355262.297
12/6/2016	346408.952
12/7/2016	332548.453
12/8/2016	350648.778
12/9/2016	353235.243
12/10/2016	328106.298
12/11/2016	301427.867
12/12/2016	290763.858
12/13/2016	272941.029
12/14/2016	266134.297
12/15/2016	303886.607
