Date	Hour	Price
23.01.2018	H19	43.99
23.01.2018	H20	37.97
23.01.2018	H21	35.11
23.01.2018	H22	27.27
23.01.2018	H23	24.14
23.01.2018	H24	14.01
24.01.2018	H1	27.65
24.01.2018	H2	16.19
24.01.2018	H3	11.63
24.01.2018	H4	10.94
24.01.2018	H5	16.17
24.01.2018	H6	33.09
24.01.2018	H7	47.76
24.01.2018	H8	52.00
24.01.2018	H9	52.94
24.01.2018	H10	54.51
24.01.2018	H11	51.23
24.01.2018	H12	48.17
24.01.2018	H13	49.08
24.01.2018	H14	51.30
24.01.2018	H15	49.08
24.01.2018	H16	48.22
24.01.2018	H17	57.00
24.01.2018	H18	64.09
24.01.2018	H19	60.80
24.01.2018	H20	59.08
24.01.2018	H21	48.67
24.01.2018	H22	41.29
24.01.2018	H23	39.50
24.01.2018	H24	37.12
25.01.2018	H1	35.53
25.01.2018	H2	31.58
25.01.2018	H3	16.58
25.01.2018	H4	11.55
25.01.2018	H5	23.06
25.01.2018	H6	37.14
25.01.2018	H7	45.71
25.01.2018	H8	53.78
25.01.2018	H9	59.90
25.01.2018	H10	55.88
25.01.2018	H11	49.97
25.01.2018	H12	51.40
25.01.2018	H13	50.67
25.01.2018	H14	48.30
25.01.2018	H15	46.61
25.01.2018	H16	47.53
25.01.2018	H17	57.14
25.01.2018	H18	62.07
25.01.2018	H19	61.48
25.01.2018	H20	55.65
25.01.2018	H21	52.70
25.01.2018	H22	44.13
25.01.2018	H23	40.49
25.01.2018	H24	36.82
26.01.2018	H1	40.85
26.01.2018	H2	37.21
26.01.2018	H3	32.74
26.01.2018	H4	31.62
26.01.2018	H5	32.22
26.01.2018	H6	40.03
26.01.2018	H7	49.97
26.01.2018	H8	56.48
26.01.2018	H9	65.51
26.01.2018	H10	58.48
26.01.2018	H11	54.67
26.01.2018	H12	53.28
26.01.2018	H13	52.91
26.01.2018	H14	51.92
26.01.2018	H15	51.22
26.01.2018	H16	52.91
26.01.2018	H17	59.83
26.01.2018	H18	66.41
26.01.2018	H19	63.63
26.01.2018	H20	61.48
26.01.2018	H21	52.92
26.01.2018	H22	49.95
26.01.2018	H23	49.29
26.01.2018	H24	43.37
27.01.2018	H1	35.05
27.01.2018	H2	32.70
27.01.2018	H3	30.30
27.01.2018	H4	30.17
27.01.2018	H5	30.30
27.01.2018	H6	30.95
27.01.2018	H7	30.93
27.01.2018	H8	36.21
27.01.2018	H9	45.33
27.01.2018	H10	48.08
27.01.2018	H11	49.07
27.01.2018	H12	49.07
27.01.2018	H13	43.78
27.01.2018	H14	38.17
27.01.2018	H15	37.22
27.01.2018	H16	38.14
27.01.2018	H17	44.81
27.01.2018	H18	61.50
27.01.2018	H19	63.47
27.01.2018	H20	59.57
27.01.2018	H21	50.00
27.01.2018	H22	41.02
27.01.2018	H23	38.14
27.01.2018	H24	30.09
28.01.2018	H1	43.91
28.01.2018	H2	37.91
28.01.2018	H3	27.65
28.01.2018	H4	22.05
28.01.2018	H5	21.43
28.01.2018	H6	27.40
28.01.2018	H7	30.56
28.01.2018	H8	38.15
28.01.2018	H9	39.02
28.01.2018	H10	39.52
28.01.2018	H11	40.08
28.01.2018	H12	40.29
28.01.2018	H13	40.05
28.01.2018	H14	32.10
28.01.2018	H15	34.57
28.01.2018	H16	37.51
28.01.2018	H17	40.29
28.01.2018	H18	52.53
28.01.2018	H19	50.58
28.01.2018	H20	42.22
28.01.2018	H21	44.15
28.01.2018	H22	40.06
28.01.2018	H23	21.39
28.01.2018	H24	9.25
29.01.2018	H1	11.79
29.01.2018	H2	11.07
29.01.2018	H3	10.72
29.01.2018	H4	6.64
29.01.2018	H5	12.65
29.01.2018	H6	34.00
29.01.2018	H7	52.94
29.01.2018	H8	57.22
29.01.2018	H9	54.45
29.01.2018	H10	47.85
29.01.2018	H11	47.37
29.01.2018	H12	47.00
29.01.2018	H13	46.63
29.01.2018	H14	44.15
29.01.2018	H15	42.49
29.01.2018	H16	42.87
29.01.2018	H17	42.00
29.01.2018	H18	45.87
29.01.2018	H19	40.29
29.01.2018	H20	38.41
29.01.2018	H21	39.00
29.01.2018	H22	31.21
29.01.2018	H23	26.58
29.01.2018	H24	20.08
30.01.2018	H1	21.02
30.01.2018	H2	13.21
30.01.2018	H3	11.26
30.01.2018	H4	11.21
30.01.2018	H5	12.98
30.01.2018	H6	24.92
30.01.2018	H7	37.08
30.01.2018	H8	49.96
30.01.2018	H9	45.07
30.01.2018	H10	41.30
30.01.2018	H11	39.72
30.01.2018	H12	38.58
30.01.2018	H13	39.96
30.01.2018	H14	39.21
30.01.2018	H15	39.37
30.01.2018	H16	42.72
30.01.2018	H17	45.99
30.01.2018	H18	51.30
30.01.2018	H19	53.14
30.01.2018	H20	50.80
30.01.2018	H21	47.08
30.01.2018	H22	40.29
30.01.2018	H23	39.07
30.01.2018	H24	35.79
31.01.2018	H1	34.16
31.01.2018	H2	30.17
31.01.2018	H3	26.88
31.01.2018	H4	23.77
31.01.2018	H5	23.59
31.01.2018	H6	30.04
31.01.2018	H7	39.59
31.01.2018	H8	45.50
31.01.2018	H9	53.07
31.01.2018	H10	50.80
31.01.2018	H11	46.90
31.01.2018	H12	45.98
31.01.2018	H13	45.98
31.01.2018	H14	44.95
31.01.2018	H15	42.99
31.01.2018	H16	40.90
31.01.2018	H17	47.01
31.01.2018	H18	58.96
31.01.2018	H19	57.52
31.01.2018	H20	49.42
31.01.2018	H21	40.18
31.01.2018	H22	29.00
31.01.2018	H23	26.60
31.01.2018	H24	20.29
01.02.2018	H1	22.63
01.02.2018	H2	21.52
01.02.2018	H3	20.06
01.02.2018	H4	17.22
01.02.2018	H5	19.50
01.02.2018	H6	24.70
01.02.2018	H7	34.41
01.02.2018	H8	39.05
01.02.2018	H9	40.31
01.02.2018	H10	40.45
01.02.2018	H11	40.99
01.02.2018	H12	43.89
01.02.2018	H13	45.10
01.02.2018	H14	44.08
01.02.2018	H15	40.45
01.02.2018	H16	40.81
01.02.2018	H17	40.89
01.02.2018	H18	45.71
01.02.2018	H19	47.00
01.02.2018	H20	44.70
01.02.2018	H21	40.70
01.02.2018	H22	36.06
01.02.2018	H23	34.93
01.02.2018	H24	31.00
02.02.2018	H1	30.78
02.02.2018	H2	29.78
02.02.2018	H3	28.94
02.02.2018	H4	27.77
02.02.2018	H5	29.14
02.02.2018	H6	32.72
02.02.2018	H7	39.90
02.02.2018	H8	49.31
02.02.2018	H9	50.00
02.02.2018	H10	48.82
02.02.2018	H11	47.00
02.02.2018	H12	45.88
02.02.2018	H13	44.70
02.02.2018	H14	43.31
02.02.2018	H15	43.27
02.02.2018	H16	43.94
02.02.2018	H17	45.35
02.02.2018	H18	49.83
02.02.2018	H19	52.89
02.02.2018	H20	49.90
02.02.2018	H21	44.46
02.02.2018	H22	41.33
02.02.2018	H23	40.00
02.02.2018	H24	36.53
03.02.2018	H1	32.92
03.02.2018	H2	31.38
03.02.2018	H3	31.04
03.02.2018	H4	28.86
03.02.2018	H5	29.43
